,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
BOC,0.12960715306923096,0.13117440182432985,0.12659207219164215,0.1177061252865698,0.11686601893355113,0.14304615653703776,0.13323227588078562,0.10871733899037167,0.1263278344427628,0.11569601910525815,0.13677833090453234,0.09410079856785589,0.0888673454139252,0.1328292821755438,0.14963144939132667,0.11365965679987565,0.08892169412563525,0.12613915617386975,0.12017900245375583,0.11227068024611377,0.12445880258282875,0.14703616288696478,0.11744803562828018,0.139226987349359,0.1161148393626041,0.1184493730682619,0.10261120924451796,0.14596331621687372,0.11043323048961906,0.096463666842388,0.10559700732946278,0.14402294107069774,0.1028480121482308,0.06794436545502976,0.12431790023600361,0.11921895663977225,0.07267340327752043,0.13086716933761727,0.11403681900357643,0.11889140969668283,0.11088406451460381,0.09712377605585493,0.09260496148109656,0.07838322540894188,0.12484187195259497,0.10213269213681497,0.11789066470521274,0.11976232547289226,0.0964747051307442,0.10682568294038296,0.1380515706884374,0.10039284332103587,0.0955130146688708,0.12658125067738754,0.1248165842948624,0.12070078041972944,0.13626718565552126,0.10233933398890589,0.10936635394760665,0.13170718369959078,0.12535794105338452,0.1321786687178134,0.13170745077031282,0.11585878075512784,0.09147488265583299,0.11505272633529538,0.11189065972073284,0.0936231613905553,0.09826374921676874,0.1166114781942404,0.11204278346829438,0.11172132610019943,0.11270109804170166,0.11621466928880479,0.11748946015169527,0.07837927446688167,0.10143201886099498,0.14025914265815662,0.07864382748623175,0.1208333908766152,0.12527523752968442,0.11282546476747171,0.11516453183671425,0.11715535148759476,0.08489847043951602,0.09167265009207594,0.11137806416588097,0.09700991987299218,0.1008179516485428,0.09614843734738804,0.11631821611099172,0.11794025447511736,0.08511870766822247,0.12073461474269717,0.13985114585670141,0.1096161379490916,0.10655723880840721,0.11043125692935034,0.09799528919052018,0.1024691057065731
BPIFB1,0.12974791268411076,0.09149217650330291,0.14092474424385645,0.0903585283330238,0.0937320516936768,0.10931287950144494,0.1231121461784196,0.12455229072197185,0.14150125724113694,0.1435517782920366,0.10571127713913799,0.1132460624427953,0.1397968751953988,0.11658197015580316,0.1569659052664135,0.1256557050475833,0.11300205128347139,0.12451925321013921,0.09920061572669679,0.10529092663865258,0.15641956743285218,0.13909778752787239,0.13857418238303087,0.10560718816067721,0.14025550569398307,0.12352893260991046,0.1094472288319903,0.12573622441495827,0.14009610933059863,0.11054127477292221,0.11093840467793555,0.11297658671937953,0.11532967635340778,0.11860355805404395,0.11664506507995552,0.13866164908946563,0.13827600157895276,0.13397002896724847,0.11303097474228607,0.12483189770443971,0.11303585448286452,0.13908617663510056,0.10941541371234664,0.12341488020149428,0.11774070463415538,0.13686863684507009,0.1199364450299339,0.11858526483511854,0.11297533659370197,0.1325929927620909,0.10464481375660688,0.11789040863386788,0.11939222207244501,0.1465356778517644,0.11436700888127117,0.1503361924285418,0.10174746419341903,0.12607791461549056,0.11543144272952269,0.11110677854537274,0.11323705827445998,0.11749093938879179,0.11880973918606053,0.12589093436159166,0.13450345182841608,0.11938688762388876,0.11590350378762156,0.10635255242735325,0.11546582414162583,0.09903778647315581,0.142927175704486,0.10888635252376834,0.12532762934129513,0.12784375639036702,0.11976570993398346,0.11069800010960035,0.12424380809525158,0.10456932859249438,0.11480600815827387,0.13401054538785262,0.12333248662902487,0.11476605092642063,0.10932968609207018,0.15409009989255898,0.13726380160789295,0.11954532315042658,0.12420117673136774,0.14050508637104284,0.11944871446254797,0.12236321412193871,0.11654894129304084,0.14066424613947331,0.14486719028102796,0.11321172490801332,0.13392588371305236,0.14285601660354044,0.13501106876494237,0.11596213072912864,0.11799807066269806,0.12104834599278376
CCL27,-0.0509036708586611,-0.10052503792686537,-0.08877041268552761,-0.09346253092412903,-0.08897739588720457,-0.0706567965538946,-0.07548088335508113,-0.06831714871570818,-0.07842506947883063,-0.10149869616441214,-0.06771691407130526,-0.05811284741135295,-0.061636107085539654,-0.07318852171313689,-0.09903874047404407,-0.1035119187995764,-0.0749081090429502,-0.08253687061270468,-0.06291669439041501,-0.04669375310599451,-0.08201366555426122,-0.06838124412321175,-0.04871556968119174,-0.08043610020764215,-0.09102661647054452,-0.08312695902873006,-0.097259925729465,-0.08511748677787413,-0.08375966940135524,-0.1344655596436275,-0.0953069347252483,-0.06719466471007901,-0.0651378257561812,-0.08320856803852658,-0.0529383923798357,-0.05460599045232014,-0.07098283683014656,-0.046662610823735476,-0.053541886525332844,-0.08474964017563334,-0.0803575764561041,-0.07939458841799797,-0.09633137533166246,-0.09061913346199166,-0.07786035520258858,-0.0686439114134286,-0.10423022377903404,-0.052908957303171404,-0.07632982416065555,-0.10743726438225806,-0.06350668585635003,-0.046568232681210776,-0.0482326977470143,-0.053556524162363776,-0.07475518639253387,-0.05171815812219206,-0.11578927940061694,-0.08498642299536205,-0.11005862131558591,-0.07496175342668031,-0.051046679545377914,-0.0767060361713248,-0.07653706182731561,-0.10322159046651116,-0.06928656936318518,-0.05247998071700548,-0.08097203981770437,-0.06625407787638268,-0.07651407616476687,-0.08290462513618256,-0.0542273653957625,-0.0657463107936959,-0.054973924987837916,-0.10279248094976429,-0.09366780686026374,-0.08588344927561002,-0.08393945521260462,-0.058337374394094345,-0.06416963013720689,-0.07111502966350541,-0.06834118231339985,-0.08855568622712746,-0.062298827909728315,-0.06614101774322387,-0.07575925094368505,-0.07219741233231144,-0.09420974757423961,-0.0766205731048858,-0.08384230281329481,-0.08664611164332435,-0.09933871634777265,-0.05509330076820048,-0.05672413282015809,-0.09792452077706416,-0.08571235476326226,-0.09382001096392299,-0.09778181663820094,-0.06157849243673373,-0.085164569301164,-0.056940235521036525
CHRDL2,0.07457362207282023,0.11062156740025178,0.07791237209075265,0.0953644256473579,0.09645997275103455,0.055693412354779905,0.13388890525340494,0.08723768056370637,0.10364547732823516,0.05908920460925976,0.10443808887740985,0.08551681824788264,0.09032195290064277,0.07782087216440117,0.08161681486505976,0.10839201807463913,0.08354424694579758,0.06581603191783666,0.06700428511115714,0.11264362397270641,0.10941417668631084,0.07528345258826416,0.09813755844816975,0.05892761457968847,0.08216743206717665,0.1092568328678688,0.0782944941431632,0.06307548209236645,0.13382987618195577,0.11354546818970505,0.09701630560466372,0.11008024162874974,0.10552584610589323,0.08616081076967469,0.09194298971070607,0.08763938903322965,0.10550042676301728,0.08038536626485467,0.07215448698023756,0.08674903825008308,0.09291238938045687,0.10609444373053717,0.08974168397259367,0.08678930980707332,0.09252938768097106,0.1095438914993987,0.12595620817769887,0.09061236966011266,0.07152644360106399,0.07353128853247604,0.10177716192930199,0.05475852572956515,0.09355278651083707,0.07606081726965397,0.09128302486677989,0.04464493719505208,0.10670264849777752,0.08340494604925391,0.0956662401205043,0.1126883176440985,0.08665773342886078,0.09670690507210007,0.09295238514146931,0.05999262204311712,0.07517027679664251,0.07177091656171279,0.10823105165870132,0.09487641486072408,0.07872135912822166,0.06351916603177514,0.05398558132515829,0.11808112306585039,0.10324469893982215,0.07552976424537353,0.096189168443239,0.07082031264805871,0.09163979875260393,0.036438058255631636,0.11314605955580066,0.060632241200732656,0.06978255312160947,0.07294165874782423,0.09464892218419023,0.07352843805828906,0.119976391025097,0.0756049711577803,0.10128915604339646,0.08071496287154252,0.12174065141888649,0.07518057156958402,0.08331520245397696,0.07826876446378686,0.10051006625225176,0.09281106278568615,0.06015072009465054,0.10699447484682499,0.1011902273803203,0.11520092938759337,0.12807156648451695,0.08122765185725081
CNTN1,-0.048230381107954176,-0.07143066541706533,-0.05881572810549301,-0.11219647124962136,-0.10526770751296255,-0.10346198053385346,-0.13559251582561116,-0.07962467617216898,-0.11175098829244635,-0.08192989639278402,-0.06625736067889795,-0.06338854570836715,-0.10380183748859001,-0.09147309505355014,-0.12790903244217877,-0.08668911765000667,-0.07599074207352453,-0.11124215831937703,-0.09796783535617964,-0.08779036034699317,-0.0663024078156328,-0.07821710468074738,-0.07992457993071446,-0.07254066083554257,-0.07125704556818456,-0.09072897962601098,-0.0561015864921406,-0.10032874838761227,-0.11392599761758068,-0.09501442896318692,-0.08013131658442182,-0.08097133548676576,-0.0796654704902353,-0.09199746840044254,-0.1071296858485921,-0.11400530584977217,-0.06512694703202206,-0.09363925520283146,-0.0980678670755963,-0.06718092591515577,-0.04424857098146327,-0.10155153804131797,-0.09873280349148564,-0.058634292487546084,-0.0600476243265402,-0.06953142210592053,-0.09108961090918677,-0.0529720827172384,-0.09417865176367152,-0.09602252514402793,-0.11852675629216529,-0.1013563855398871,-0.0984026807652414,-0.11368526212177217,-0.07279367304382625,-0.08673153489375886,-0.10212773960111937,-0.0492069112803586,-0.06601045412577504,-0.10529758829357681,-0.054492265878424366,-0.06689095299760027,-0.07986948823518673,-0.08617035189892738,-0.057166470471034764,-0.04594947064472632,-0.0809372497205955,-0.08102128794584477,-0.09980173908396972,-0.07222986715312982,-0.07389850863526497,-0.08249571989619431,-0.10653544588937246,-0.10527372901622394,-0.06571449367336725,-0.0950572544385424,-0.10831853621116115,-0.06375487648443869,-0.061250680111881894,-0.08501207680696106,-0.10909314203238758,-0.08439689864214567,-0.060920151343375195,-0.07914420866173356,-0.07336278853783733,-0.08716262317291708,-0.10664702540487349,-0.08619045759211559,-0.12731485700057216,-0.10196500379523314,-0.09129630781154907,-0.06954578516171393,-0.10831960039902162,-0.08696898848012116,-0.06552356704062225,-0.1354482991651267,-0.08925388649711347,-0.10002354531824922,-0.08594793514657668,-0.07357243201491985
COL1A1,-0.0699527723158852,-0.08586435628108427,-0.05434255549688731,-0.06669514725178782,-0.059683851807960986,-0.09177269548738914,-0.040351812213708954,-0.09355828179708957,-0.09197320291116573,-0.10728303650152313,-0.10555026959174184,-0.033729692955332,-0.07322240842264392,-0.059919564675776735,-0.09137183234017215,-0.06952001793000355,-0.055935752254655136,-0.06878644913709452,-0.10373749635903352,-0.09348432039145496,-0.08276318263019795,-0.0869545004826933,-0.06652069141576068,-0.06228007262989798,-0.019405856337656433,-0.09103999962601,-0.0879639415185475,-0.08340224553455207,-0.07309519372810523,-0.07002812732295682,-0.07791336964631232,-0.07229941280687945,-0.03875146722899313,-0.05598576958646024,-0.038448667989640806,-0.06186119940214566,-0.08547179260188906,-0.11290372916430358,-0.05688371136754833,-0.049200015910853316,-0.07898709143083886,-0.10368902288815979,-0.07283474341320106,-0.08052527503999841,-0.10077884698399653,-0.08392568427653681,-0.07432591259571875,-0.04192566969927692,-0.0672331850526972,-0.06219966556333654,-0.06764984889071975,-0.05545537302427765,-0.02429203241676288,-0.03363699873595925,-0.06320310242511386,-0.06131214932665019,-0.055028643416598556,-0.04600798452010321,-0.05113507622040109,-0.07359851877043697,-0.04622921010151201,-0.0694213711906809,-0.035553058694189316,-0.09137414232207632,-0.06800209530100065,-0.05869609895627248,-0.09134192158405112,-0.05733725338132338,-0.07136577414804192,-0.09572751266381861,-0.08650587491701182,-0.0990903420177436,-0.06782485201019331,-0.07753283391528705,-0.07289169558219599,-0.06270701692398614,-0.086410867687201,-0.051798683848092705,-0.0827387932083061,-0.05456403707390925,-0.050799056956925236,-0.05072448372763185,-0.06292251627592903,-0.07222006905688337,-0.08786193656361889,-0.035257079112132265,-0.07353712862601011,-0.04481192182407858,-0.07659284548073743,-0.05268985389076686,-0.06861312403385603,-0.046971239513466274,-0.06256223205658294,-0.091000871290112,-0.06545218798025423,-0.07190432427509713,-0.07677094837040614,-0.07914290348830898,-0.08271237114617323,-0.053646907781657635
COL6A3,0.20834413631464707,0.16997666477236573,0.21990402292388456,0.1908089279486051,0.2023546596735117,0.24160239000988343,0.20725731115652204,0.17593407026483784,0.18680046149957696,0.21527192472705378,0.2091105471016815,0.21092440853342048,0.22298136030396654,0.24634162104326504,0.24693700981637695,0.2163596406432415,0.20265905674756704,0.22467849312525381,0.17024135564714085,0.1660851329061191,0.22366868150318853,0.24787345594291196,0.21414822328368738,0.23169557125524967,0.2876298019482599,0.19998018699876405,0.22973577004511112,0.20941762291745403,0.22843818451260792,0.22893561332516726,0.2176307730491591,0.23810465753862742,0.22158911997934605,0.17600254995402456,0.22319667569204993,0.18871821809021508,0.17702775693800776,0.17580908789863595,0.2224475197520268,0.25870949205573013,0.23709970264127833,0.22036306909981415,0.2176032278488726,0.24142904414995622,0.19772927702296067,0.2251804029519633,0.23442103077430057,0.22484451686454407,0.17852916429235124,0.23076936101770906,0.2583664547584401,0.1988147846282569,0.21943611376862696,0.21440922440550872,0.23923796848623022,0.2093010197115834,0.21753711033434384,0.20002238279022008,0.23245266760616512,0.23368725022095957,0.18397242513709003,0.27360221730626816,0.23743578532669193,0.21102981016878203,0.26744381533697975,0.22582765851487235,0.18363852627671343,0.17850066248715166,0.22195704986308035,0.2020247966956344,0.205047871390493,0.21551637094026144,0.22701411016086345,0.23772503892428629,0.2034895097929662,0.24569494421654006,0.26174463709877194,0.22949852337945256,0.18985904978688717,0.25198985674061875,0.2025030523111379,0.23127371319391055,0.18125422581946704,0.2473152928699621,0.2171394411768122,0.2206074467841196,0.21229446176402533,0.2092239674386848,0.17045385220187245,0.24762245656588816,0.23310984383391703,0.21318819772634973,0.20548789874682993,0.22280284168577874,0.23761830462631997,0.18931143234086117,0.20454038223271856,0.22235277777506046,0.20865241413431046,0.2525920886940241
CRTAC1,-0.14717510274867324,-0.157871042745081,-0.1325337510453773,-0.12999487109886565,-0.15389724285199655,-0.15709023491334875,-0.13373060915382848,-0.1496282924451794,-0.12975634241097994,-0.16259323723679003,-0.15635300269649707,-0.16346997943426528,-0.15636399755213334,-0.13242073997615594,-0.12763692832313142,-0.1587182696913181,-0.1396576143520651,-0.1419128722677551,-0.14209260110455424,-0.13617791672012064,-0.1427413875948818,-0.1337547124905949,-0.1591413582131823,-0.15865379160800475,-0.17134736105618822,-0.15126621119101025,-0.13380652563705606,-0.16850721089611548,-0.12772993790640244,-0.1377063111588289,-0.13213882292720203,-0.16661687228931493,-0.17377082825162138,-0.1637588361950611,-0.16063472844239832,-0.12306988504511972,-0.16246023260491538,-0.13356348777052512,-0.14835565836347087,-0.11766226649984148,-0.14703600078060128,-0.164322912635996,-0.1423858909746977,-0.14802212978074492,-0.15164691910507597,-0.12323361605293963,-0.1356440397735504,-0.14917779746555831,-0.16762260490891825,-0.16623041762999322,-0.14104455861513532,-0.13231071493952454,-0.14961396339254607,-0.14437429179702535,-0.14584040493407402,-0.17859168398544664,-0.15811998002876504,-0.1740356757976893,-0.12167453777082553,-0.11617843526252258,-0.1764157586019914,-0.1470494770632629,-0.12775022139064443,-0.15354886361662065,-0.13765973760276695,-0.16466287764712992,-0.1448227103572971,-0.13004125591628693,-0.14832042513023927,-0.15906593280317485,-0.16369468516776906,-0.1466052203616911,-0.12683212739762967,-0.14568749374886417,-0.1551295176896113,-0.1310383152246523,-0.13262156697231053,-0.17387145374858579,-0.13251902938277135,-0.16418263405777936,-0.15858967783406883,-0.1387196534691513,-0.11967311095426914,-0.1373502795048412,-0.15781115826425834,-0.16160986542258873,-0.1440080488890172,-0.159652839126549,-0.1399764730212485,-0.15665400188459572,-0.12837680792674622,-0.14097271323679522,-0.16417721745562955,-0.16648454630666698,-0.16129653499277952,-0.1633970219860166,-0.1376893705405523,-0.16086932153509048,-0.18833159634360228,-0.16184389417111655
DCN,-0.06671389122535859,-0.09238638623330263,-0.07138463657819429,-0.029124905423619236,-0.07785309708997891,-0.09851456800343793,-0.08918053695423274,-0.007502882522708659,-0.061324391458047044,-0.07046248667042557,-0.06957973108539343,-0.06552293712102061,-0.03599440013180944,-0.09790564233225645,-0.07597353165117263,-0.07520716387844031,-0.053972292223098725,-0.04605117165833487,-0.04960070898940661,-0.051022061974385524,-0.05148871324652206,-0.0813324567356539,-0.053476665663165016,-0.09643024877164974,-0.10379432660102281,-0.08829308439030989,-0.03651729726567516,-0.04940580993852651,-0.09802052016537753,-0.06227823213259602,-0.04555431101881338,-0.07859538613773347,-0.06992021215690028,-0.046144817844911264,-0.04126174488220424,-0.09693665364643864,-0.04746420634294142,-0.0673291903900126,-0.07967098148798471,-0.0575007389258399,-0.09110055840119083,-0.049419804533790225,-0.0525057099393377,-0.05210185374663174,-0.0550421974590138,-0.0328631108197337,-0.07156168633072234,-0.07381544375845919,-0.07866915103602941,-0.054543749773949456,-0.06343740105383712,-0.07599245475072162,-0.06743530910385993,-0.0720649821247128,-0.04045282907186814,-0.07322687134814955,-0.09728894084126166,-0.0602577281317395,-0.041949384760325475,-0.05764929012092455,-0.045246153553177806,-0.09464441192129759,-0.09280524602622754,-0.04647821557862397,-0.0674509846240124,-0.083807144739587,-0.04824987858427982,-0.08653770723340144,-0.059330550432874676,-0.0873948417858556,-0.08428625135862361,-0.056623012401532974,-0.071244917294399,-0.06960014902889874,-0.05176832414064571,-0.04322299065884865,-0.05147904674440179,-0.10555340789173169,-0.08909362258484753,-0.08886315421646199,-0.08901380725200655,-0.06953735913738572,-0.0768615149780439,-0.07429050289568082,-0.06415097728951678,-0.05160672822967357,-0.08041391187330083,-0.07784155504039053,-0.07238060938664724,-0.07257839949788594,-0.06215754487030821,-0.045050497244119636,-0.04242651298254753,-0.059421346607066175,-0.0931117256642538,-0.05781468731446194,-0.05792962918596844,-0.08595919406486725,-0.06268787315271876,-0.07835801799128266
